# Written by the BoltzWann module of the Wannier90 code.
# [K coefficient in SI units, i.e. in W/m/K]
# [the K coefficient is defined in the documentation, and is an ingredient of
#  the thermal conductivity. See the docs for further information.]
# Mu(eV) Temp(K) Kappa_xx Kappa_xy Kappa_yy Kappa_xz Kappa_yz Kappa_zz
   5.220000000       500.0000000      0.8334532320     -0.1787946861E-03  0.8322655468     -0.1058183643E-02 -0.2566450315E-03  0.8310488751    
   5.220000000       700.0000000       3.271676510     -0.9821983544E-03   3.257240433     -0.3447110946E-02 -0.9129677170E-03   3.259025220    
   5.230000000       300.0000000      0.6403307807E-01 -0.7245397932E-05  0.6416202448E-01 -0.7531134575E-04 -0.1368405232E-04  0.6385874145E-01
   5.230000000       500.0000000      0.9722355095     -0.2114323050E-03  0.9707565577     -0.1233853207E-02 -0.3007626857E-03  0.9694163220    
   5.230000000       700.0000000       3.607062296     -0.1094802540E-02   3.590730495     -0.3771015763E-02 -0.1002964503E-02   3.592983654    
   5.240000000       300.0000000      0.8534296788E-01 -0.9714995513E-05  0.8550869500E-01 -0.1013076421E-03 -0.1862351996E-04  0.8511250307E-01
   5.240000000       500.0000000       1.130551693     -0.2495132277E-03   1.128713307     -0.1433919134E-02 -0.3514363946E-03   1.127254547    
   5.240000000       700.0000000       3.967508229     -0.1218277436E-02   3.949053496     -0.4112315636E-02 -0.1098685012E-02   3.951866906    
   5.250000000       300.0000000      0.1131607522     -0.1296910061E-04  0.1133714718     -0.1357016592E-03 -0.2526404938E-04  0.1128579487    
   5.250000000       500.0000000       1.310174787     -0.2938109177E-03   1.307893993     -0.1660401620E-02 -0.4093430399E-03   1.306329052    
   5.250000000       700.0000000       4.353161167     -0.1353286799E-02   4.332334027     -0.4469176310E-02 -0.1199819745E-02   4.335813334    
   5.260000000       300.0000000      0.1491895710     -0.1722932986E-04  0.1494540950     -0.1809266342E-03 -0.3415212356E-04  0.1487944546    
   5.260000000       500.0000000       1.512761247     -0.3451745552E-03   1.509937530     -0.1915052755E-02 -0.4751336423E-03   1.508288366    
   5.260000000       700.0000000       4.763814802     -0.1500456886E-02   4.740342587     -0.4839036461E-02 -0.1305873239E-02   4.744608270    
   5.270000000       300.0000000      0.1954349489     -0.2276607240E-04  0.1957619341     -0.2399803593E-03 -0.4599059633E-04  0.1949233832    
   5.270000000       500.0000000       1.739756786     -0.4045284526E-03   1.736269047     -0.2199178400E-02 -0.5493920100E-03   1.734569893    
   5.270000000       700.0000000       5.198861310     -0.1660355945E-02   5.172447546     -0.5218515370E-02 -0.1416132450E-02   5.177635754    
   5.280000000       300.0000000      0.2541809626     -0.2990180367E-04  0.2545775820     -0.3164804364E-03 -0.6167362862E-04  0.2535244852    
   5.280000000       500.0000000       1.992288672     -0.4728698763E-03   1.987991962     -0.2513418025E-02 -0.6325792359E-03   1.986292217    
   5.280000000       700.0000000       5.657251077     -0.1833470025E-02   5.627575297     -0.5603333868E-02 -0.1529635953E-02   5.633838366    
   5.290000000       300.0000000      0.3279137314     -0.3901008388E-04  0.3283835696     -0.4146764652E-03 -0.8232360682E-04  0.3270798076    
   5.290000000       500.0000000       2.271051290     -0.5512654647E-03   2.265773418     -0.2857484049E-02 -0.7249617739E-03   2.264140618    
