# Written by the BoltzWann module of the Wannier90 code.
# [Seebeck coefficient in SI units, i.e. in V/K]
# Mu(eV) Temp(K) Seebeck_xx Seebeck_xy Seebeck_xz Seebeck_yx Seebeck_yy Seebeck_yz Seebeck_zx Seebeck_zy Seebeck_zz
   5.110000000       700.0000000     -0.5658939841E-03  0.1708031502E-07 -0.2454485389E-07  0.1697229528E-07 -0.5653143639E-03  0.5781445124E-09 -0.2479565313E-07  0.7316105418E-09 -0.5657464209E-03
   5.120000000       300.0000000     -0.1028530237E-02  0.2616206489E-08  0.7370808735E-07  0.2542250541E-08 -0.1028055583E-02  0.2691443008E-07  0.7408116318E-07  0.2716773713E-07 -0.1028677793E-02
   5.120000000       500.0000000     -0.6998416399E-03  0.1409018906E-07  0.1622514669E-07  0.1399200056E-07 -0.6993472834E-03  0.1405820140E-07  0.1624975798E-07  0.1424748319E-07 -0.6998253694E-03
   5.120000000       700.0000000     -0.5517004075E-03  0.1708453142E-07 -0.2461078893E-07  0.1697653340E-07 -0.5511208023E-03  0.5557663785E-09 -0.2486203768E-07  0.7092053773E-09 -0.5515526529E-03
   5.130000000       300.0000000     -0.9951983374E-03  0.2615964984E-08  0.7370764497E-07  0.2542010053E-08 -0.9947236927E-03  0.2691476807E-07  0.7408071827E-07  0.2716807407E-07 -0.9953458929E-03
   5.130000000       500.0000000     -0.6798752007E-03  0.1409264316E-07  0.1620201099E-07  0.1399447030E-07 -0.6793809026E-03  0.1405253899E-07  0.1622648280E-07  0.1424178722E-07 -0.6798588717E-03
   5.130000000       700.0000000     -0.5375232055E-03  0.1708949158E-07 -0.2468839126E-07  0.1698151894E-07 -0.5369436173E-03  0.5294056215E-09 -0.2494016921E-07  0.6828129967E-09 -0.5373752255E-03
   5.140000000       300.0000000     -0.9618671153E-03  0.2615609722E-08  0.7370699415E-07  0.2541656286E-08 -0.9613924842E-03  0.2691526632E-07  0.7408006372E-07  0.2716857078E-07 -0.9620146693E-03
   5.140000000       500.0000000     -0.6599174961E-03  0.1409574096E-07  0.1617285432E-07  0.1399758780E-07 -0.6594232714E-03  0.1404539525E-07  0.1619715036E-07  0.1423460124E-07 -0.6599010933E-03
   5.140000000       700.0000000     -0.5233652384E-03  0.1709532305E-07 -0.2477967920E-07  0.1698738004E-07 -0.5227856693E-03  0.4983646238E-09 -0.2503207982E-07  0.6517350610E-09 -0.5232169930E-03
   5.150000000       300.0000000     -0.9285368903E-03  0.2615086573E-08  0.7370603572E-07  0.2541135339E-08 -0.9280622790E-03  0.2691599921E-07  0.7407909980E-07  0.2716930140E-07 -0.9286844419E-03
   5.150000000       500.0000000     -0.6399707888E-03  0.1409965212E-07  0.1613611725E-07  0.1400152376E-07 -0.6394766564E-03  0.1403638202E-07  0.1616019182E-07  0.1422553483E-07 -0.6399542931E-03
   5.150000000       700.0000000     -0.5092298469E-03  0.1710217376E-07 -0.2488700241E-07  0.1699426526E-07 -0.5086502992E-03  0.4618279599E-09 -0.2514013532E-07  0.6151553322E-09 -0.5090812894E-03
   5.160000000       300.0000000     -0.8952081328E-03  0.2614316613E-08  0.7370462476E-07  0.2540368620E-08 -0.8947335508E-03  0.2691707789E-07  0.7407768077E-07  0.2717037674E-07 -0.8953556811E-03
   5.160000000       500.0000000     -0.6200379214E-03  0.1410459148E-07  0.1608984086E-07  0.1400649432E-07 -0.6195439048E-03  0.1402500906E-07  0.1611363644E-07  0.1421409500E-07 -0.6200213086E-03
   5.160000000       700.0000000     -0.4951209262E-03  0.1711021464E-07 -0.2501308953E-07  0.1700234625E-07 -0.4945414020E-03  0.4188442375E-09 -0.2526708309E-07  0.5721215131E-09 -0.4949720017E-03
   5.170000000       300.0000000     -0.8618815357E-03  0.2613183516E-08  0.7370254717E-07  0.2539240294E-08 -0.8614069968E-03  0.2691866517E-07  0.7407559128E-07  0.2717195910E-07 -0.8620290790E-03
   5.170000000       500.0000000     -0.6001224611E-03  0.1411083133E-07  0.1603156696E-07  0.1401277340E-07 -0.5996285898E-03  0.1401065708E-07  0.1605501122E-07  0.1419965897E-07 -0.6001057009E-03
   5.170000000       700.0000000     -0.4810430074E-03  0.1711964233E-07 -0.2516109999E-07  0.1701182039E-07 -0.4804635085E-03  0.3683058410E-09 -0.2541610430E-07  0.5215249918E-09 -0.4808936517E-03
   5.180000000       300.0000000     -0.8285581185E-03  0.2611516500E-08  0.7369948826E-07  0.2537580299E-08 -0.8280836430E-03  0.2692100010E-07  0.7407251487E-07  0.2717428678E-07 -0.8287056543E-03
   5.180000000       500.0000000     -0.5802288794E-03  0.1411871711E-07  0.1595821497E-07  0.1402070847E-07 -0.5797351901E-03  0.1399254352E-07  0.1598121700E-07  0.1418143986E-07 -0.5802119337E-03
   5.180000000       700.0000000     -0.4670013481E-03  0.1713068170E-07 -0.2533467929E-07  0.1702291339E-07 -0.4664218760E-03  0.3089266287E-09 -0.2559086959E-07  0.4620785478E-09 -0.4668514863E-03
   5.190000000       300.0000000     -0.7952393809E-03  0.2609064759E-08  0.7369498432E-07  0.2535138890E-08 -0.7947649988E-03  0.2692443363E-07  0.7406798515E-07  0.2717770964E-07 -0.7953869059E-03
   5.190000000       500.0000000     -0.5603627715E-03  0.1412868763E-07  0.1586593074E-07  0.1403074086E-07 -0.5598693097E-03  0.1396967917E-07  0.1588837638E-07  0.1415844314E-07 -0.5603455922E-03
   5.190000000       700.0000000     -0.4530020310E-03  0.1714358811E-07 -0.2553801651E-07  0.1703588144E-07 -0.4524225861E-03  0.2392178049E-09 -0.2579559699E-07  0.3922922409E-09 -0.4528515756E-03
   5.200000000       300.0000000     -0.7619275292E-03  0.2605460579E-08  0.7368835235E-07  0.2531549908E-08 -0.7614532844E-03  0.2692947975E-07  0.7406131525E-07  0.2718274005E-07 -0.7620750381E-03
   5.200000000       500.0000000     -0.5405311250E-03  0.1414130101E-07  0.1574990244E-07  0.1404343180E-07 -0.5400379468E-03  0.1394081336E-07  0.1577164850E-07  0.1412941152E-07 -0.5405136520E-03
   5.200000000       700.0000000     -0.4390520683E-03  0.1715864885E-07 -0.2577590188E-07  0.1705101267E-07 -0.4384726497E-03  0.1574624178E-09 -0.2603510995E-07  0.3104479388E-09 -0.4389009175E-03
   5.210000000       300.0000000     -0.7286258067E-03  0.2600166239E-08  0.7367858637E-07  0.2526277915E-08 -0.7281517638E-03  0.2693688951E-07  0.7405149343E-07  0.2719012664E-07 -0.7287732920E-03
   5.210000000       500.0000000     -0.5207426437E-03  0.1415726813E-07  0.1560413855E-07  0.1405949599E-07 -0.5202498183E-03  0.1390436442E-07  0.1562500570E-07  0.1409275529E-07 -0.5207248018E-03
   5.210000000       700.0000000     -0.4251595114E-03  0.1717618331E-07 -0.2605378149E-07  0.1706862724E-07 -0.4245801158E-03  0.6168927099E-10 -0.2631489245E-07  0.2145732742E-09 -0.4250075468E-03
   5.220000000       300.0000000     -0.6953389780E-03  0.2592397351E-08  0.7366420418E-07  0.2518541871E-08 -0.6948652319E-03  0.2694775656E-07  0.7403702906E-07  0.2720095954E-07 -0.6954864286E-03
   5.220000000       500.0000000     -0.5010081356E-03  0.1417749561E-07  0.1542120357E-07  0.1407984471E-07 -0.5005157472E-03  0.1385833216E-07  0.1544096758E-07  0.1404646445E-07 -0.5009898305E-03
   5.220000000       700.0000000     -0.4113335601E-03  0.1719654097E-07 -0.2637780460E-07  0.1708907524E-07 -0.4107541811E-03 -0.5035251426E-10 -0.2664113674E-07  0.1024162747E-09 -0.4111806449E-03
   5.230000000       300.0000000     -0.6620740362E-03  0.2581015291E-08  0.7364302106E-07  0.2507208036E-08 -0.6616007259E-03  0.2696366476E-07  0.7401572504E-07  0.2721681735E-07 -0.6622214358E-03
   5.230000000       500.0000000     -0.4813409666E-03  0.1420314109E-07  0.1519190888E-07  0.1410564126E-07 -0.4808491173E-03  0.1380018793E-07  0.1521029005E-07  0.1398799856E-07 -0.4813220808E-03
   5.230000000       700.0000000     -0.3975846691E-03  0.1722009616E-07 -0.2675485783E-07  0.1711273137E-07 -0.3970052957E-03 -0.1812164490E-09 -0.2702077783E-07 -0.2857749548E-10 -0.3974306452E-03
   5.240000000       300.0000000     -0.6288412293E-03  0.2564378133E-08  0.7361181569E-07  0.2490641604E-08 -0.6283685582E-03  0.2698688978E-07  0.7398434183E-07  0.2723996796E-07 -0.6289885539E-03
   5.240000000       500.0000000     -0.4617575853E-03  0.1423568359E-07  0.1490495973E-07  0.1413837142E-07 -0.4612663967E-03  0.1372673785E-07  0.1492161007E-07  0.1391414978E-07 -0.4617379723E-03
   5.240000000       700.0000000     -0.3839246424E-03  0.1724723787E-07 -0.2719257845E-07  0.1713998450E-07 -0.3833452571E-03 -0.3337765592E-09 -0.2746150707E-07 -0.1812826941E-09 -0.3837693278E-03
   5.250000000       300.0000000     -0.5956555422E-03  0.2540142165E-08  0.7356583529E-07  0.2466509168E-08 -0.5951838072E-03  0.2702066198E-07  0.7393809995E-07  0.2727363013E-07 -0.5958027568E-03
   5.250000000       500.0000000     -0.4422781071E-03  0.1427701227E-07  0.1454656527E-07  0.1417993228E-07 -0.4417877228E-03  0.1363395514E-07  0.1456105333E-07  0.1382087501E-07 -0.4422575853E-03
   5.250000000       700.0000000     -0.3703667081E-03  0.1727835257E-07 -0.2769933733E-07  0.1717122039E-07 -0.3697872846E-03 -0.5112367208E-09 -0.2797175507E-07 -0.3589033792E-09 -0.3702098945E-03
   5.260000000       300.0000000     -0.5625388171E-03  0.2505012802E-08  0.7349806246E-07  0.2431530957E-08 -0.5620684492E-03  0.2706948310E-07  0.7386994297E-07  0.2732228826E-07 -0.5626858703E-03
   5.260000000       500.0000000     -0.4229269435E-03  0.1432953577E-07  0.1410002859E-07  0.1423274167E-07 -0.4224375290E-03  0.1351677903E-07  0.1411182169E-07  0.1370309491E-07 -0.4229052885E-03
   5.260000000       700.0000000     -0.3569255629E-03  0.1731379740E-07 -0.2828418001E-07  0.1720679449E-07 -0.3563460632E-03 -0.7171269705E-09 -0.2856063262E-07 -0.5649691294E-09 -0.3567670128E-03
   5.270000000       300.0000000     -0.5295227418E-03  0.2454466335E-08  0.7339812839E-07  0.2381204313E-08 -0.5290543632E-03  0.2713944818E-07  0.7376944504E-07  0.2739201128E-07 -0.5296695588E-03
   5.270000000       500.0000000     -0.4037334374E-03  0.1439631264E-07  0.1354534815E-07  0.1429986842E-07 -0.4032451787E-03  0.1336888211E-07  0.1355379199E-07  0.1355446159E-07 -0.4037103731E-03
   5.270000000       700.0000000     -0.3436173725E-03  0.1735386025E-07 -0.2895671306E-07  0.1724699171E-07 -0.3430377433E-03 -0.9552813150E-09 -0.2923781663E-07 -0.8033126307E-09 -0.3434568167E-03
   5.280000000       300.0000000     -0.4966529751E-03  0.2382516558E-08  0.7325070414E-07  0.2309572437E-08 -0.4961874752E-03  0.2723843261E-07  0.7362119443E-07  0.2749063511E-07 -0.4967994473E-03
   5.280000000       500.0000000     -0.3847324459E-03  0.1448119816E-07  0.1285888187E-07  0.1438517896E-07 -0.3842455444E-03  0.1318241644E-07  0.1286317781E-07  0.1336710547E-07 -0.3847076346E-03
   5.280000000       700.0000000     -0.3304597155E-03  0.1739870310E-07 -0.2972692215E-07  0.1729196921E-07 -0.3298798839E-03 -0.1229790715E-08 -0.3001336718E-07 -0.1078022421E-08 -0.3302968507E-03
