# Written by the BoltzWann module of the Wannier90 code.
# [(Electrical conductivity * Seebeck coefficient) in SI units, i.e. in Ampere/m/K]
# Mu(eV) Temp(K) (Sigma*S)_xx (Sigma*S)_xy (Sigma*S)_yy (Sigma*S)_xz (Sigma*S)_yz (Sigma*S)_zz
   5.230000000       300.0000000      0.3093196127     -0.3299571970E-04  0.3101522917     -0.3317336039E-03 -0.5274034047E-04  0.3084124447    
   5.230000000       500.0000000       3.767110532     -0.6811337610E-03   3.765800335     -0.4836481568E-02 -0.1110703483E-02   3.756964932    
   5.230000000       700.0000000       11.88720737     -0.3093909408E-02   11.85153674     -0.1381597377E-01 -0.3499367068E-02   11.84673853    
   5.240000000       300.0000000      0.4321441588     -0.4619948933E-04  0.4332892008     -0.4662452160E-03 -0.7467449188E-04  0.4308823191    
   5.240000000       500.0000000       4.539686065     -0.8277183387E-03   4.537850152     -0.5839586095E-02 -0.1346711633E-02   4.527459466    
   5.240000000       700.0000000       13.45920646     -0.3534078305E-02   13.41777570     -0.1560470640E-01 -0.3965683780E-02   13.41313915    
   5.250000000       300.0000000      0.6018377024     -0.6450350217E-04  0.6034032755     -0.6537539934E-03 -0.1055638237E-03  0.6000891674    
   5.250000000       500.0000000       5.456688757     -0.1004179619E-02   5.454136770     -0.7034369764E-02 -0.1629878897E-02   5.441992457    
   5.250000000       700.0000000       15.20746796     -0.4031770009E-02   15.15936243     -0.1758285692E-01 -0.4484806315E-02   15.15510718    
   5.260000000       300.0000000      0.8351316013     -0.8976722219E-04  0.8372573639     -0.9142514711E-03 -0.1489767841E-03  0.8327193442    
   5.260000000       500.0000000       6.540100558     -0.1216042535E-02   6.536577853     -0.8451530675E-02 -0.1968564557E-02   6.522486645    
   5.260000000       700.0000000       17.14404829     -0.4593308793E-02   17.08821465     -0.1975945045E-01 -0.5060230648E-02   17.08463022    
   5.270000000       300.0000000       1.153981827     -0.1244548167E-03   1.156843775     -0.1274727878E-02 -0.2098590116E-03   1.150671257    
   5.270000000       500.0000000       7.813386483     -0.1469664088E-02   7.808554366     -0.1012438122E-01 -0.2372193890E-02   7.792343504    
   5.270000000       700.0000000       19.27989060     -0.5225433543E-02   19.21511863     -0.2214069512E-01 -0.5694942180E-02   19.21257912    
   5.280000000       300.0000000       1.586677421     -0.1717765837E-03   1.590489882     -0.1771263899E-02 -0.2950444333E-03   1.582162346    
   5.280000000       500.0000000       9.300846757     -0.1772300975E-02   9.294257836     -0.1208806191E-01 -0.2851207880E-02   9.275796658    
   5.280000000       700.0000000       21.62425509     -0.5935256101E-02   21.54915844     -0.2472888481E-01 -0.6391135308E-02   21.54813867    
   5.290000000       300.0000000       2.168782374     -0.2358142041E-03   2.173793479     -0.2451484510E-02 -0.4139495595E-03   2.162671025    
   5.290000000       500.0000000       11.02664910     -0.2132171452E-02   11.01771727     -0.1437821533E-01 -0.3416901049E-02   10.99694591    
   5.290000000       700.0000000       24.18408160     -0.6730197980E-02   24.09707764     -0.2752112563E-01 -0.7149869382E-02   24.09817033    
   5.300000000       300.0000000       2.943522122     -0.3215715704E-03   2.949996990     -0.3377209644E-02 -0.5795151328E-03   2.935326379    
   5.300000000       500.0000000       13.01350630     -0.2558515964E-02   13.00147126     -0.1702896120E-01 -0.4081092289E-02   12.97843687    
   5.300000000       700.0000000       26.96330632     -0.7617900192E-02   26.86259576     -0.3050790804E-01 -0.7970659242E-02   26.86652913    
   5.310000000       300.0000000       3.960986858     -0.4348415618E-03   3.969170717     -0.4626878142E-02 -0.8094711216E-03   3.950120124    
   5.310000000       500.0000000       15.28100595     -0.3061668811E-02   15.26489282     -0.2007002014E-01 -0.4855559164E-02   15.23979272    
   5.310000000       700.0000000       29.96216535     -0.8606099139E-02   29.84571218     -0.3367157124E-01 -0.8851004418E-02   29.85336708    
   5.320000000       300.0000000       5.275296489     -0.5817170440E-03   5.285349883     -0.6296865973E-02 -0.1127971144E-02   5.261088173    
   5.320000000       500.0000000       17.84366501     -0.3653163013E-02   17.82224019     -0.2352287769E-01 -0.5751156675E-02   17.79547007    
   5.320000000       700.0000000       33.17652752     -0.9702458800E-02   33.04204023     -0.3698473610E-01 -0.9785869741E-02   33.05446567    
   5.330000000       300.0000000       6.938853642     -0.7675577271E-03   6.950757009     -0.8500103942E-02 -0.1567456619E-02   6.920589598    
   5.330000000       500.0000000       20.70886643     -0.4345898400E-02   20.68059174     -0.2739597984E-01 -0.6776546527E-02   20.65279545    
   5.330000000       700.0000000       36.59730628     -0.1091434581E-01   36.44222113     -0.4040881639E-01 -0.1076714147E-01   36.46064704    
